county_fips,votes_gop,votes_dem,total_votes,per_point_diff
55053,6204,4157,10501,0.1949338158270641
55055,28771,20574,50035,0.1638253222744078
55057,9525,4854,14528,0.3215170704845815
55059,47478,41826,90472,0.062472367141215
55061,8267,4059,12466,0.3375581581902775
55063,32247,39008,72242,-0.0935882173804711
55065,5256,3469,8832,0.2023324275362319
55067,7782,3746,11659,0.3461703405094776
55069,10633,6306,17188,0.2517454037700721
55071,28200,17399,46235,0.2336109008327024
55073,46213,31529,78675,0.1866412456307595
55075,16670,7415,24364,0.3798637333771137
55077,6041,3252,9406,0.2965128641292792
55078,296,1266,1572,-0.6170483460559796
55079,138022,316292,462766,-0.3852270910136007
55081,14563,8476,23321,0.2610093906779298
55083,17675,6967,24881,0.4303685543185563
55085,14455,10080,24837,0.1761484881426903
55087,60827,49438,111905,0.1017738260131361
55089,34504,27874,63199,0.1049067232076456
55091,2798,1523,4354,0.2928341754708314
55093,14417,10171,25320,0.1676935229067931
55095,18296,9567,28212,0.3094073443924571
55097,20987,21503,43158,-0.0119560683998332
55099,5763,3005,8856,0.311427280939476
55101,56347,49721,107402,0.0616934507737286
55103,5207,3985,9305,0.1313272434175174
55105,40218,46642,88113,-0.0729063815782007
55107,5660,2516,8261,0.3805834644716135
55109,35537,23870,60477,0.1929163152934173
55111,18798,18172,37574,0.016660456698781
55113,6422,4599,11122,0.1639093688185579
55115,15850,7336,23455,0.3629929652526114
55117,38763,27735,67410,0.1635959056519804
55119,8209,2823,11172,0.4820981023988542
55121,9661,6219,16066,0.2142412548238516
55123,8807,7514,16579,0.0779902286024488
55125,9837,6119,16101,0.2309173343270604
55127,36603,23161,60465,0.2223104275200529
55129,6962,3867,10953,0.2825709851182325
55131,61604,28504,91162,0.3630898839428709
55133,162768,108478,274845,0.1975295166366497
55135,20093,9947,30367,0.3341126881153884
55137,9625,4571,14360,0.3519498607242339
55139,49179,44660,95166,0.0474854464829876
55141,24997,16599,42149,0.1992455337018671
56001,8930,8371,17639,0.0316911389534553
56003,4867,742,5691,0.7248286768581972
56005,16006,2004,18236,0.7678218907655188
56007,4952,1274,6327,0.5813181602655286
56009,5756,845,6678,0.7353998203054807
56011,3805,443,4311,0.7798654604500116
56013,11552,5179,17060,0.3735638921453693
56015,4893,1156,6134,0.6092272579067493
56017,2082,488,2604,0.6121351766513057
56019,3936,847,4851,0.6367759224902083
56021,28063,14153,42899,0.3242499825170749
56023,8957,1623,10731,0.6834404994874661
56025,24671,8337,33591,0.4862612009169122
56027,1108,112,1230,0.8097560975609756
56029,13084,3259,16575,0.592760180995475
56031,3874,780,4727,0.6545377617939496
56033,12041,3920,16219,0.5007090449472841
56035,3905,920,4885,0.6110542476970318
56037,12541,3731,16569,0.5317158549097712
56039,4134,8748,13077,-0.3528332186281257
56041,7282,1561,8984,0.6367987533392698
56043,3125,656,3841,0.6428013538141109
56045,3069,378,3494,0.7701774470520892
