county_fips,state_name,county,population,ALAND_SQMI,pop_density
20155,Kansas,Reno,61693,1255.308,49.145707666963006
29113,Missouri,Lincoln,61636,626.562,98.37174932408924
36051,New York,Livingston,61588,631.654,97.50274675692705
39009,Ohio,Athens,61573,503.643,122.25524826116913
37077,North Carolina,Granville,61439,531.991,115.48879586308792
47167,Tennessee,Tipton,61339,455.611,134.63019988542857
48467,Texas,Van Zandt,61323,842.572,72.7807237838428
36021,New York,Columbia,61245,634.663,96.50003230060678
35015,New Mexico,Eddy,61114,4176.347,14.63336260133557
36115,New York,Washington,60883,831.19,73.24799384015688
26149,Michigan,St. Joseph,60870,500.64,121.5843720038351
05033,Arkansas,Crawford,60792,595.269,102.12525765662247
32019,Nevada,Lyon,60630,2003.053,30.268794684913477
50021,Vermont,Rutland,60484,930.55,64.99811939175757
27111,Minnesota,Otter Tail,60281,1971.635,30.5741174203136
49021,Utah,Iron,60201,3296.167,18.26394111706112
51143,Virginia,Pittsylvania,60148,969.003,62.07204724856373
42015,Pennsylvania,Bradford,59971,1147.376,52.267957496060575
50023,Vermont,Washington,59958,687.06,87.267487555672
36043,New York,Herkimer,59932,1410.586,42.48730669381378
02122,Alaska,Kenai Peninsula,59843,16017.53,3.736094141855829
36077,New York,Otsego,59738,1001.738,59.6343554901581
49003,Utah,Box Elder,59725,5781.304,10.330714316354927
42103,Pennsylvania,Pike,59691,544.895,109.54587581093605
29145,Missouri,Newton,59490,624.754,95.22147917420297
48473,Texas,Waller,59455,513.297,115.82962690216385
39129,Ohio,Pickaway,59407,501.193,118.53118459355977
39167,Ohio,Washington,59318,631.974,93.8614563257349
01009,Alabama,Blount,59292,644.891,91.94111873169265
01001,Alabama,Autauga,59285,594.455,99.73000479430739
37163,North Carolina,Sampson,59245,945.93,62.63148435930778
54055,West Virginia,Mercer,59062,418.962,140.97221227700842
47031,Tennessee,Coffee,58940,428.964,137.40080752697196
01113,Alabama,Russell,58858,641.182,91.79608909794723
